humicola;Concentration;0;12.33;33.67;56.67;81;104.67;125.67;150.67;174.33;200;226.33;255.67;293.33;328.33;365.33;430.33;493;550;610;670;730;790;1690
humicola;0.01;0.02375;0.06145;0.01495;0.0199;0.01735;0.03215;0.0562;0.02925;0.0344;0.02715;0.0255667;0.0547667;0.4061167;0.1389667;0.05085;0.06055;0;0;0.0038;1.50265;0.06755;0.214225;0.0945
humicola;0.01;0.09775;0.0673;0.0271;0.0222;0.0248;0.0455;0.07305;0.04425;0.0346;0.0324;0.0324667;0.0668667;0.0284167;0.0428667;0.0144;0.06595;0.256;0.02215;0.11755;1.2668;0.07125;0.030975;0.12285
humicola;0.01;0.0573;0.0986;0.04555;0.0313;0.0211;0.04935;0.08895;0.0487;0.03305;0.02825;0.0339667;0.1080167;0.0364667;0.0316167;0.1012;0.0927;0.04135;0.103;0.0248;1.38815;0.06955;0.024425;0.09745
humicola;0.1;0.0802;0.0859;0.0503;0.03005;0.031;0.22605;0.09855;0.1068;0.07785;0.0803;0.0449167;0.0416667;0.0929167;0.0406667;1.78765;0.0146;0.0456;0.0029;0.0471;0.1232;0.54985;0.031225;0.06985
humicola;0.1;0.07085;0.10765;0.1053;0.02265;0.0386;0.23885;0.091;0.1377;0.0757;0.08865;0.0652667;0.0624167;0.0435167;0.0423167;0.01765;0.06385;1.2227;0.0594;0.0072;0.0718;0.06075;0.010775;0.0918
humicola;0.1;0.0565;0.11105;0.03485;0.0593;0.029;0.1967;0.0966;0.1323;0.08195;0.0762;0.01003667;0.0663167;0.0413167;0.0355667;1.02945;0.01115;0.08975;0.04325;0.05695;0.11765;0.07375;0.024475;0.12645
humicola;0.4;0.18605;0.1536;0.1342;0.0999;0.1185;0.0606;0.0328;0.0208;0.01575;0.0235;0.0308167;0.961667;0.0649167;0.0632667;0.0622167;0.12535;0.28225;0.02775;0.03615;0.0774;1.2107;1.57565;1.80795
humicola;0.4;0.16125;0.1461;0.1169;0.1015;0.12145;0.0635;0.0486;0.0369;0.0179;0.02465;0.0927167;0.1057667;0.0872667;0.19077667;0.0675167;0.07165;0;0.0371;0.02885;0.08135;1.397;1.4128;2.1996
humicola;0.4;0.1159;0.1472;0.1195;0.0962;0.1309;0.0602;0.0664;0.0382;0.0224;0.0291;0.0898167;0.1318667;0.0814167;0.0709667;0.0584667;0.0877;0.05895;0.0247;0.1034;0.073;1.59225;1.33555;1.7574
